id,name,slug,brand_id,brand_name,brand_slug,category_id,category_name,category_slug,description,material_summary,coating_summary,verification_tier,price_min,price_max,amazon_asin,amazon_affiliate_link,cj_product_id,cj_affiliate_link,awin_product_id,awin_affiliate_link,brand_direct_link,image_url,induction_compatible,oven_safe_temp_f,dishwasher_safe
zwilling-spirit-set,Zwilling Spirit 10-Piece Cookware Set,zwilling-spirit-set,zwilling,Zwilling,zwilling,cookware-sets,Cookware Sets,cookware-sets,"3-ply stainless steel ceramic non-stick cookware. Ceraforce XTREME coating is PFAS-free.",3-ply stainless steel,Ceraforce XTREME ceramic,3,499,599,B07BFSJ2LC,https://www.amazon.com/dp/B07BFSJ2LC?tag=YOUR_AMAZON_TAG,,,,,,https://www.zwilling.com/us/zwilling-spirit-cookware,/images/products/zwilling-spirit.jpg,true,400,true
scanpan-ctx-fry-pan,Scanpan CTX 10.25" Fry Pan,scanpan-ctx,scanpan,Scanpan,scanpan,cookware-fry-pans,Fry Pans,fry-pans,"Ceramic titanium non-stick surface. Stratanium+ coating is PFOS and PFOA free.",Aluminum alloy,Stratanium+ ceramic titanium,2,159,179,B004YLWQ78,https://www.amazon.com/dp/B004YLWQ78?tag=YOUR_AMAZON_TAG,,,,,,https://scanpan.com/collections/ctx,/images/products/scanpan-ctx.jpg,true,500,true
abbio-saute-pan,Abbio 3.5 Qt Sauté Pan,abbio-saute-pan,abbio,Abbio,abbio,cookware-saute-pans,Sauté Pans,saute-pans,"Fully-clad stainless steel with ergonomic handle. No coatings - inherently PFAS-free.",Fully-clad stainless steel,None - uncoated stainless,4,115,135,,,,,,,https://abbio.com/products/saute-pan,/images/products/abbio-saute.jpg,true,550,true
misen-nonstick-pan,Misen 10" Nonstick Pan,misen-nonstick,misen,Misen,misen,cookware-fry-pans,Fry Pans,fry-pans,"Premium non-stick with 3-ply construction. Uses PTFE-free ceramic coating.",3-ply aluminum with stainless exterior,Ceramic non-stick coating,2,75,95,B08GCSPWRH,https://www.amazon.com/dp/B08GCSPWRH?tag=YOUR_AMAZON_TAG,,,,,,https://misen.com/products/nonstick-pan,/images/products/misen-nonstick.jpg,true,450,true
de-buyer-mineral-b,de Buyer Mineral B 10" Fry Pan,de-buyer-mineral-b,debuyer,de Buyer,de-buyer,cookware-fry-pans,Fry Pans,fry-pans,"Carbon steel pan with beeswax finish. 99% iron, naturally PFAS-free. Made in France.",Carbon steel (99% iron),Beeswax protective finish,4,75,95,B000NZOKDC,https://www.amazon.com/dp/B000NZOKDC?tag=YOUR_AMAZON_TAG,,,,,,https://www.debuyer.com/en/products/mineral-b-element,/images/products/de-buyer-mineral.jpg,true,unlimited,false
finex-cast-iron-skillet,FINEX 10" Cast Iron Skillet,finex-skillet,finex,FINEX,finex,cookware-fry-pans,Fry Pans,fry-pans,"Premium cast iron with octagonal shape and speed cool spring handle. Made in USA.",Cast iron,Pre-seasoned (natural oil),4,175,195,B00WQFKWN0,https://www.amazon.com/dp/B00WQFKWN0?tag=YOUR_AMAZON_TAG,,,,,,https://finexusa.com/product/10-cast-iron-skillet,/images/products/finex-skillet.jpg,false,unlimited,false
stagg-ekg-kettle,Fellow Stagg EKG Electric Kettle,stagg-ekg,fellow,Fellow,fellow,kitchen-kettles,Kettles,kettles,"Pour-over kettle with stainless steel body. No non-stick coatings - PFAS-free.",Stainless steel,None - uncoated stainless,4,169,195,B07DTBQJRK,https://www.amazon.com/dp/B07DTBQJRK?tag=YOUR_AMAZON_TAG,,,,,,https://fellowproducts.com/products/stagg-ekg-electric-kettle,/images/products/stagg-kettle.jpg,false,n/a,true
if-you-care-parchment,If You Care Parchment Paper,if-you-care-parchment,ifyoucare,If You Care,if-you-care,bakeware-liners,Baking Liners,baking-liners,"Unbleached parchment paper. Silicone-coated (PFAS-free alternative to Teflon liners).",Unbleached paper,Silicone coating,3,6,8,B001FQMPOE,https://www.amazon.com/dp/B001FQMPOE?tag=YOUR_AMAZON_TAG,,,,,,https://www.ifyoucare.com/products/parchment-paper,/images/products/if-you-care-parchment.jpg,false,425,false
stasher-silicone-bags,Stasher Reusable Silicone Storage Bags (4-pack),stasher-bags,stasher,Stasher,stasher,storage-bags,Storage Bags,storage-bags,"Platinum silicone storage bags. PFAS-free alternative to plastic bags.",Platinum silicone,None,4,39,52,B08H1RZX9H,https://www.amazon.com/dp/B08H1RZX9H?tag=YOUR_AMAZON_TAG,,,,,,https://www.stasherbag.com/collections/all-stashers,/images/products/stasher-bags.jpg,false,400,true
oxo-glass-containers,OXO Good Grips Smart Seal Glass Containers (8-piece),oxo-glass-containers,oxo,OXO,oxo,storage-containers,Storage Containers,storage-containers,"Borosilicate glass containers with silicone-sealed lids. No plastic touching food.",Borosilicate glass,Silicone seal,4,35,45,B0841ZV47J,https://www.amazon.com/dp/B0841ZV47J?tag=YOUR_AMAZON_TAG,,,,,,https://www.oxo.com/glass-containers,/images/products/oxo-glass.jpg,false,450,true
